id	Cluster	Type	From	To	Most similar known cluster	MIBiG BGC-ID	Similarity
AC230_FW421	Region 101.1	bacteriocin	"2,153"	"8,689"			
AC230_FW421	Region 103.1	"NRPS,T1PKS"	"30,608"	"84,444"	divergolide A / divergolide B / divergolide C / divergolide D	Polyketide:Modular type I	10
AC230_FW421	Region 106.1	terpene	1	"11,154"	GE81112	NRP	10
AC230_FW421	Region 110.1	T1PKS	1	"17,866"	sceliphrolactam	Polyketide	24
AC230_FW421	Region 113.1	T1PKS	1	"4,822"			
AC230_FW421	Region 114.1	T1PKS	1	"7,477"			
AC230_FW421	Region 116.1	"NRPS,bacteriocin"	"7,039"	"38,765"	rimosamide	NRP	14
AC230_FW421	Region 117.1	terpene	1	"12,583"	geosmin	Terpene	100
AC230_FW421	Region 120.1	T1PKS	1	"5,413"			
AC230_FW421	Region 130.1	lassopeptide	"4,537"	"22,288"	ikarugamycin	NRP + Polyketide:Iterative type I	8
AC230_FW421	Region 131.1	T1PKS	1	"17,890"	apoptolidin	Polyketide	25
AC230_FW421	Region 136.1	"NRPS,T1PKS"	1	"23,641"	amicetin	Saccharide:Aminoglycoside	8
AC230_FW421	Region 151.1	NRPS	1	"22,784"			
AC230_FW421	Region 161.1	siderophore	"15,195"	"21,912"			
AC230_FW421	Region 187.1	lassopeptide	"6,657"	"29,228"	albusnodin	RiPP	100
AC230_FW421	Region 188.1	siderophore	1	"6,959"			
AC230_FW421	Region 195.1	terpene	1	"11,234"	isorenieratene	Terpene	85
AC230_FW421	Region 206.1	NRPS	1	"24,990"	capreomycin IA / capreomycin IB / capreomycin IIA / capreomycin IIB	NRP	9
AC230_FW421	Region 216.1	T2PKS	1	"12,980"	oxytetracycline	Polyketide	35
AC230_FW421	Region 226.1	ectoine	1	"6,797"	ectoine	Other	75
AC230_FW421	Region 242.1	NRPS	1	"21,509"	paenibactin	NRP	83
AC230_FW421	Region 246.1	NRPS	"11,894"	"59,237"	pepticinnamin E	NRP + Polyketide	6
AC230_FW421	Region 260.1	NRPS	1	"37,288"	rimosamide	NRP	21
AC230_FW421	Region 272.1	TfuA-related	1	"10,323"			
AC230_FW421	Region 291.1	terpene	1	"24,096"	hopene	Terpene	76
AC230_FW421	Region 317.1	T1PKS	1	"8,528"	salinomycin	Polyketide	50
AC230_FW421	Region 335.1	T1PKS	1	"2,467"			
AC230_FW421	Region 359.1	betalactone	1	"14,944"			
AC230_FW421	Region 388.1	PKS-like	1	"11,448"	caniferolide A / caniferolide B / caniferolide C / caniferolide D	Polyketide:Modular type I	16
AC230_FW421	Region 411.1	T1PKS	1	"1,953"			
AC230_FW421	Region 415.1	nucleoside	1	"2,313"			
AC230_FW421	Region 447.1	terpene	1	"1,350"			
AC541_RSS863	Region 1	CDPS	"3,032"	"21,232"	naseseazine C / C3-aryl pyrroloindolines	Other	66
AC541_RSS863	Region 2	"NRPS,T1PKS"	"99,140"	"308,869"	nigericin	Polyketide:Modular type I	100
AC541_RSS863	Region 3	"terpene,T1PKS,NRPS"	"443,359"	"547,391"	isorenieratene	Terpene	85
AC541_RSS863	Region 4	NRPS	"674,986"	"764,822"	atratumycin	NRP	10
AC541_RSS863	Region 5	"T3PKS,NRPS-like"	"807,162"	"870,972"	napyradiomycin A80915C	Terpene + Polyketide:Type III	9
AC541_RSS863	Region 6	butyrolactone	"1,227,471"	"1,238,262"			
AC541_RSS863	Region 7	siderophore	"1,414,793"	"1,427,332"			
AC541_RSS863	Region 8	"NRPS,T1PKS"	"1,469,159"	"1,614,441"	niphimycins C-E	Polyketide	41
AC541_RSS863	Region 9	bacteriocin	"1,668,701"	"1,677,605"			
AC541_RSS863	Region 10	bacteriocin	"1,769,246"	"1,780,880"			
AC541_RSS863	Region 11	siderophore	"1,989,034"	"2,004,259"	ficellomycin	NRP	3
AC541_RSS863	Region 12	"other,CDPS"	"2,340,390"	"2,382,209"	BD-12	NRP	17
AC541_RSS863	Region 13	T1PKS	"2,547,168"	"2,646,977"	methymycin	Polyketide:Modular type I + Saccharide:Hybrid/tailoring	57
AC541_RSS863	Region 14	terpene	"2,663,478"	"2,683,433"	merochlorin A / merochlorin B / deschloro-merochlorin A / deschloro-merochlorin B / isochloro-merochlorin B / dichloro-merochlorin B / merochlorin D / merochlorin C	Terpene + Polyketide:Type III	7
AC541_RSS863	Region 15	NRPS-like	"2,730,857"	"2,770,271"	echoside A / echoside B / echoside C / echoside D / echoside E	NRP	76
AC541_RSS863	Region 16	terpene	"3,005,113"	"3,023,976"	xiamycin A	Terpene	13
AC541_RSS863	Region 17	terpene	"3,680,479"	"3,700,594"	geosmin	Terpene	100
AC541_RSS863	Region 18	arylpolyene	"4,701,095"	"4,742,318"	kedarcidin	Polyketide:Iterative type I + Polyketide:Enediyne type I	7
AC541_RSS863	Region 19	"CDPS,terpene"	"4,969,166"	"4,989,893"			
AC541_RSS863	Region 20	NRPS	"5,744,209"	"5,787,082"	atratumycin	NRP	7
AC541_RSS863	Region 21	ladderane	"5,987,445"	"6,028,701"	marinacarboline A / marinacarboline B / marinacarboline C / marinacarboline D	Alkaloid	30
AC541_RSS863	Region 22	NRPS	"6,637,568"	"6,683,538"	diisonitrile antibiotic SF2768	NRP	66
AC541_RSS863	Region 23	ectoine	"7,012,641"	"7,023,045"	ectoine	Other	100
AC541_RSS863	Region 24	NRPS	"7,185,038"	"7,229,074"	streptobactin	NRP	41
AC541_RSS863	Region 25	NRPS	"7,376,456"	"7,417,977"	stenothricin	NRP:Cyclic depsipeptide	13
AC541_RSS863	Region 26	terpene	"7,515,639"	"7,540,197"	hopene	Terpene	61
AC541_RSS863	Region 27	"PKS-like,transAT-PKS,T1PKS"	"7,685,726"	"7,782,987"	thailandamide / thailandamide lactone	NRP + Polyketide:Modular type I	26
AC541_RSS863	Region 28	T1PKS	"7,795,817"	"7,878,091"	piericidin A1	Polyketide	100
AC541_RSS863	Region 29	NRPS	"8,088,079"	"8,136,496"			
AC541_RSS863	Region 30	terpene	"8,314,473"	"8,335,522"			
